mean_speed,var_speed,max_speed,frac_running,bouts_per_min,mean_bout_dur_s,median_bout_dur_s,max_bout_dur_s,experiment_id,cre_line,targeted_structure,imaging_depth,session_type
0.46037918618388357,5.123583402320294,13.053224277496321,0.04969524976619691,1.5747191898408044,1.6021638888841598,1.0949399999967682,13.404719999960435,566752133,Emx1-IRES-Cre,VISl,175,three_session_C2
0.11411686441783135,1.1594527427457015,5.417812223434451,0.019275573792958894,0.6124166096969356,1.1980688095293968,0.8126650000037898,7.197890000033567,653123586,Rorb-IRES2-Cre,VISl,275,three_session_C2
1.0683831605373268,14.815459157802868,22.108520965576172,0.1206251464681972,3.193738173188328,1.692561643833209,0.9309999999986758,102.80899999985377,577225417,Vip-IRES-Cre,VISl,275,three_session_C2
0.018044459046756667,0.31456140759732865,1.0991922903060896,0.0028158763440394394,0.06267289542282374,0.7797299999976985,0.7133699999978944,1.0949399999967682,556353209,Rbp4-Cre_KL100,VISam,375,three_session_A
0.00020433955698364743,0.5253624413918956,1.6957807707786543,0.0037681259853432894,0.0,0.0,0.0,0.0,510390912,Rorb-IRES2-Cre,VISal,275,three_session_A
0.0040982942557044825,0.19064533989086901,1.161753038167953,0.004391596897632133,0.01589254705656043,0.7110400000005939,0.7110400000005939,0.7110400000005939,645474010,Rbp4-Cre_KL100,VISl,375,three_session_B
3.2858055956643106,99.97627717632159,50.35921577453618,0.19312507155879272,3.003933826177507,2.742157407403507,0.8977499999987231,26.865999999961787,673145838,Slc17a7-IRES2-Cre,VISl,275,three_session_B
3.77889177551252,91.21986122360896,36.92743843078613,0.17690210785845747,2.663811346436007,3.2950616470594554,1.9279200000003698,16.88592000000324,704298735,Cux2-CreERT2,VISp,175,three_session_A
0.14635187217766546,2.5481027924203072,7.016428585052461,0.058996062818739925,0.8105864669378786,1.0998578431356905,0.9309999999986758,2.7929999999960273,562296530,Emx1-IRES-Cre,VISpm,175,three_session_B
0.34207821379382863,5.866400788001456,14.476237401962301,0.027557404540763674,0.8310999971278448,1.7131357894686277,0.9290399999972578,26.34491999992224,562382668,Emx1-IRES-Cre,VISal,265,three_session_C2
1.2791954376673276,8.120124316858888,11.18476040840149,0.19506198713504974,8.616475429996386,1.2071410490750034,1.0282700000047953,7.595930000035423,647593956,Tlx3-Cre_PL56,VISl,375,three_session_C2
12.83518955761542,270.9258961720294,50.71200565338134,0.45468270301271885,2.6320745846588265,10.13720119047375,2.0671999999995023,236.791299999943,605859367,Slc17a7-IRES2-Cre,VISal,175,three_session_A
